dataset,algorithm,train_acc_mean,train_reject_mean,train_grader_kappa_mean,test_acc_mean,test_reject_mean,test_grader_kappa_mean
cdc-d,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.93652355,0.30108974,0.25982170,0.93622923,0.30100126,0.26151748
spam,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.96005918,0.24807590,0.10142832,0.94960176,0.25451551,0.12216550
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.98595689,0.29271923,0.46375014,0.88933493,0.27185185,0.29680242
bench,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98627291,0.36438161,0.02947753,0.82418526,0.35771429,0.10403736
gamma,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.92393419,0.27841687,0.11536837,0.89209673,0.28065195,0.13683703
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99725863,0.19560947,0.07135788,0.97171195,0.20436717,0.16645477
parkns,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99838003,0.20087403,0.02228423,0.93299001,0.19631579,0.17868595
blood,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.85932146,0.24699366,0.18122664,0.82031876,0.24986306,0.14526207
car,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99546882,0.14275912,0.26484736,0.99486054,0.14479903,0.28941610
vertebr,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99023739,0.29082437,0.14168694,0.89963215,0.29161290,0.27617369
bank,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99933049,0.15241967,0.07398284,0.99449188,0.16308156,0.08566538
diabet,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.83659310,0.34595867,0.08630613,0.72294368,0.33396402,0.08393782
htru,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99032514,0.08232325,0.14111922,0.98755445,0.08224407,0.15005425
haber,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.83770975,0.24230567,0.21796876,0.79633553,0.24367742,0.15768981
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.96033991,0.44420513,0.04442506,0.79061328,0.44121212,0.01168625
heart-f,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.94334282,0.30463142,0.23186917,0.85135929,0.32400000,0.08043307
iono,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98626795,0.24267209,0.21286957,0.92877971,0.29107937,0.08415969
cerv-c,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99333834,0.18454327,0.08586051,0.89814286,0.20392857,0.20502384
rice,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.97897352,0.25871099,0.24026264,0.97133476,0.26325459,0.23623121
churn,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98539160,0.10502998,0.24546376,0.96952470,0.10526984,0.28584759
taiwan,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99482817,0.09322315,0.15611887,0.98561369,0.09476469,0.23431682
letter,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.81433312,0.22151222,0.32146706,0.79898450,0.22198000,0.35308111
drybean,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98765243,0.42502389,0.13883768,0.97946694,0.42571434,0.15507619
droid,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.97534312,0.25867321,0.07371777,0.96989823,0.25951100,0.07126826
page,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99626024,0.17530898,0.11420247,0.98903754,0.17617569,0.15306362
