dataset,algorithm,hybrid_accuracy_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_reject_test,hybrid_kappa_test
891,5x5_Dynamic_Double_GB_Deep,0.95203905,0.21521716,0.43513832,0.91646921,0.21977058,0.25040487
94,5x5_Dynamic_Double_GB_Deep,0.98866632,0.11151690,0.33833315,0.96148592,0.11888682,0.25994536
96,5x5_Dynamic_Double_GB_Deep,0.99313545,0.23785788,0.65580685,0.86758395,0.23150997,0.23667707
151,5x5_Dynamic_Ternary_Deep,0.99731767,0.46089146,0.02595376,0.82969214,0.46142857,0.05730939
17,5x5_Dynamic_Ternary_Deep,1.00000000,0.08619472,0.18470470,0.97407788,0.10121554,0.26243713
174,5x5_Dynamic_Ternary_Deep,1.00000000,0.21343247,0.02566451,0.93563162,0.23284211,0.14890341
176,5x5_Dynamic_Ternary_Deep,0.91248474,0.27186538,0.37179448,0.83986123,0.28051892,0.15188877
19,5x5_Dynamic_Ternary_Deep,0.99915741,0.03998253,0.69827720,0.98896226,0.05624815,0.60445475
212,5x5_Dynamic_Ternary_Deep,0.99990291,0.29232975,0.20311151,0.91295441,0.26709677,0.30855720
267,5x5_Dynamic_Ternary_Deep,0.99996709,0.01627793,0.34991884,0.99442446,0.03206178,0.31518303
329,5x5_Dynamic_Ternary_Deep,0.94163227,0.59173730,0.15954240,0.75809675,0.55238381,0.08594830
43,5x5_Dynamic_Ternary_Deep,0.88884737,0.28599631,0.31828333,0.79971153,0.30060215,0.15199529
451,5x5_Dynamic_Ternary_Deep,0.99662472,0.59027289,0.04366254,0.78295238,0.48181818,0.01945998
519,5x5_Dynamic_Ternary_Deep,0.99848752,0.16454633,0.78855080,0.85372814,0.20485057,0.09063638
52,5x5_Dynamic_Ternary_Deep,0.99978509,0.10534438,0.66694455,0.92195854,0.17501587,0.12016906
537,5x5_Dynamic_Ternary_Deep,0.99715426,0.26168750,0.05943830,0.85397619,0.26142857,-0.01406797
545,5x5_Dynamic_Ternary_Deep,0.99927347,0.11577136,0.70170330,0.96203234,0.17973753,0.24726424
563,5x5_Dynamic_Ternary_Deep,0.99837447,0.08968607,0.49200349,0.97411544,0.09860317,0.37121849
850,5x5_Dynamic_Ternary_Deep,0.99939887,0.17814815,0.72860846,0.90665966,0.22311111,0.22126206
863,5x5_Dynamic_Ternary_Deep,0.95011614,0.36270174,0.26281547,0.91078378,0.43236071,0.22055278
887,5x5_Dynamic_Ternary_Deep,0.99379426,0.18181540,0.84525286,0.87085664,0.19632043,0.13446064
891,5x5_Dynamic_Ternary_Deep,0.95450800,0.27735292,0.37421439,0.91640784,0.29766714,0.20854275
94,5x5_Dynamic_Ternary_Deep,0.99444667,0.12092059,0.31681754,0.96063614,0.14666387,0.20639902
96,5x5_Dynamic_Ternary_Deep,0.99878799,0.23270194,0.68050375,0.85470277,0.26811966,0.17401250
