dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
267,3x5_Dynamic_Double_GB_Shallow,0.99753512,0.73613576,0.09350657,0.17035767,0.11934424,0.98979885,0.73193378,0.09152015,0.17654607,0.13000605
329,3x5_Dynamic_Double_GB_Shallow,0.83092452,0.38648470,0.14698372,0.46653159,0.10370497,0.73709166,0.38683058,0.15534633,0.45782309,0.10283009
43,3x5_Dynamic_Double_GB_Shallow,0.84421955,0.62184769,0.10762319,0.27052912,0.19206281,0.81638608,0.61361290,0.11501075,0.27137634,0.19119995
451,3x5_Dynamic_Double_GB_Shallow,0.96328336,0.33532601,0.22777839,0.43689560,0.04672225,0.79542857,0.37833333,0.24196970,0.37969697,0.04616051
519,3x5_Dynamic_Double_GB_Shallow,0.93884770,0.68799807,0.12643701,0.18556492,0.32260430,0.86286017,0.65567816,0.15436782,0.18995402,0.10850326
52,3x5_Dynamic_Double_GB_Shallow,0.97602397,0.77639321,0.10040587,0.12320092,0.35904634,0.93476546,0.76184127,0.11623810,0.12192063,0.23638856
537,3x5_Dynamic_Double_GB_Shallow,0.99583562,0.47986538,0.27786058,0.24227404,0.06453868,0.87861905,0.45535714,0.32535714,0.21928571,0.05217897
545,3x5_Dynamic_Double_GB_Shallow,0.98072224,0.73765529,0.03771945,0.22462526,0.27660504,0.97669033,0.73385827,0.03931759,0.22682415,0.27314216
563,3x5_Dynamic_Double_GB_Shallow,0.98262215,0.78375309,0.03152028,0.18472663,0.23717168,0.97712873,0.78342857,0.03066667,0.18590476,0.28685354
850,3x5_Dynamic_Double_GB_Shallow,0.94677093,0.66098765,0.05575309,0.28325926,0.24054512,0.92177977,0.65555556,0.05777778,0.28666667,0.19887973
863,3x5_Dynamic_Double_GB_Shallow,0.88176591,0.45597301,0.13900970,0.40501729,0.18632003,0.85278775,0.45210833,0.14080567,0.40708600,0.17869750
887,3x5_Dynamic_Double_GB_Shallow,0.89607934,0.74728145,0.07822743,0.17449113,0.23727324,0.88584847,0.74469549,0.07725558,0.17804892,0.20821714
891,3x5_Dynamic_Double_GB_Shallow,0.93742160,0.63551806,0.05849977,0.30598216,0.25853573,0.93727368,0.63564254,0.05837275,0.30598471,0.26075244
94,3x5_Dynamic_Double_GB_Shallow,0.96016281,0.62791679,0.12403102,0.24805218,0.10031184,0.95104572,0.62325370,0.12540564,0.25134066,0.12630681
96,3x5_Dynamic_Double_GB_Shallow,0.98181432,0.65501141,0.04669710,0.29829149,0.44724248,0.90049100,0.63381766,0.07353276,0.29264957,0.28628225
151,3x5_Dynamic_Ternary_Shallow,0.99004583,0.25663215,0.33163670,0.41173114,0.02500727,0.82778269,0.27238095,0.33509524,0.39252381,0.07644925
17,3x5_Dynamic_Ternary_Shallow,0.99596473,0.67733324,0.14699021,0.17567655,0.07907441,0.97776254,0.66255639,0.16637218,0.17107143,0.19734800
174,3x5_Dynamic_Ternary_Shallow,0.99909749,0.41799351,0.33669675,0.24530974,0.02155822,0.95107519,0.40394737,0.31484211,0.28121053,0.16541170
176,3x5_Dynamic_Ternary_Shallow,0.85852319,0.61574182,0.12108470,0.26317349,0.16803897,0.83594887,0.61518919,0.11857297,0.26623784,0.15930738
19,3x5_Dynamic_Ternary_Shallow,0.99665421,0.59113892,0.26556216,0.14329892,0.27428901,0.99608984,0.59085563,0.26179124,0.14735314,0.29441830
212,3x5_Dynamic_Ternary_Shallow,0.99107999,0.47017921,0.23577061,0.29405018,0.14260520,0.88599346,0.45806452,0.26064516,0.28129032,0.25508634
267,3x5_Dynamic_Ternary_Shallow,0.99937939,0.63904524,0.22117268,0.13978207,0.09719028,0.99278697,0.63196763,0.21878028,0.14925209,0.10779505
329,3x5_Dynamic_Ternary_Shallow,0.84816444,0.33941568,0.25261231,0.40797200,0.08329408,0.74412733,0.33153373,0.25890555,0.40956072,0.09062162
43,3x5_Dynamic_Ternary_Shallow,0.83761888,0.58242161,0.17401739,0.24356100,0.19835866,0.79987263,0.57419355,0.18881720,0.23698925,0.17552844
451,3x5_Dynamic_Ternary_Shallow,0.95146674,0.23994139,0.31221429,0.44784432,0.03509786,0.80025325,0.23530303,0.35530303,0.40939394,0.03971175
519,3x5_Dynamic_Ternary_Shallow,0.94497357,0.63957841,0.02237257,0.33804902,0.23073054,0.87316071,0.60032184,0.02137931,0.37829885,0.10754236
52,3x5_Dynamic_Ternary_Shallow,0.98200853,0.63070384,0.14055234,0.22874382,0.21656273,0.92025156,0.61411111,0.14933333,0.23655556,0.10475256
537,3x5_Dynamic_Ternary_Shallow,0.99563973,0.44786538,0.30989904,0.24223558,0.05955690,0.86416667,0.42464286,0.31535714,0.26000000,-0.03077893
545,3x5_Dynamic_Ternary_Shallow,0.97917555,0.72503937,0.02270050,0.25226013,0.24783364,0.97153239,0.72430446,0.02094488,0.25475066,0.24034214
563,3x5_Dynamic_Ternary_Shallow,0.98428223,0.74507231,0.13180247,0.12312522,0.23528604,0.97272754,0.74393651,0.13066667,0.12539683,0.27747892
850,3x5_Dynamic_Ternary_Shallow,0.95550547,0.61207407,0.06832099,0.31960494,0.22309796,0.91611130,0.60644444,0.06911111,0.32444444,0.19555742
863,3x5_Dynamic_Ternary_Shallow,0.90383415,0.41794811,0.34236407,0.23968782,0.20497435,0.86387495,0.41565715,0.33843914,0.24590371,0.19619946
887,3x5_Dynamic_Ternary_Shallow,0.90833826,0.67663589,0.00324854,0.32011557,0.18970784,0.89252149,0.67856751,0.00359881,0.31783368,0.16216149
891,3x5_Dynamic_Ternary_Shallow,0.91147231,0.62396563,0.07212271,0.30391166,0.21160191,0.90984835,0.62381583,0.07208609,0.30409808,0.21238385
94,3x5_Dynamic_Ternary_Shallow,0.96631175,0.55906160,0.16441282,0.27652557,0.08486274,0.95397163,0.55514326,0.16662077,0.27823597,0.10759790
96,3x5_Dynamic_Ternary_Shallow,0.98303080,0.63427490,0.02388728,0.34183783,0.38510425,0.87652761,0.62054131,0.03658120,0.34287749,0.19985167
151,3x5_Dynamic_Binary_Deep,0.99893162,0.17972750,0.82027250,0.00000000,0.02315172,0.82833333,0.22690476,0.77309524,0.00000000,0.07530130
