dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
451,5x5_Static_Double_GB_Shallow,0.96140733,0.42886447,0.21274542,0.35839011,0.07103580,0.76916955,0.44121212,0.22515152,0.33363636,0.02539709
519,5x5_Static_Double_GB_Shallow,0.94070170,0.69134380,0.11579375,0.19286245,0.31369563,0.86423529,0.65701149,0.13712644,0.20586207,0.10616214
52,5x5_Static_Double_GB_Shallow,0.97734574,0.78253245,0.09742214,0.12004541,0.37078202,0.93471496,0.76984127,0.11463492,0.11552381,0.26262175
537,5x5_Static_Double_GB_Shallow,0.99544120,0.57652404,0.21914423,0.20433173,0.08930923,0.86709524,0.56535714,0.25107143,0.18357143,0.09558091
545,5x5_Static_Double_GB_Shallow,0.98250137,0.72655585,0.03357247,0.23987168,0.26737958,0.97778442,0.72288714,0.03317585,0.24393701,0.26287352
563,5x5_Static_Double_GB_Shallow,0.98534503,0.79039859,0.03472310,0.17487831,0.25225159,0.97609823,0.78952381,0.03619048,0.17428571,0.29041562
850,5x5_Static_Double_GB_Shallow,0.94500449,0.65646914,0.07320988,0.27032099,0.24751701,0.91763635,0.65422222,0.07644444,0.26933333,0.20599991
863,5x5_Static_Double_GB_Shallow,0.87932658,0.49011796,0.17572981,0.33415223,0.20393683,0.85082185,0.48483984,0.17050476,0.34465541,0.20489851
887,5x5_Static_Double_GB_Shallow,0.89193824,0.74728145,0.09428420,0.15843435,0.23422361,0.88178579,0.74469549,0.09823789,0.15706662,0.20672611
891,5x5_Static_Double_GB_Shallow,0.94106712,0.63256368,0.03643190,0.33100442,0.24993732,0.94069051,0.63256623,0.03640255,0.33103122,0.25136850
94,5x5_Static_Double_GB_Shallow,0.96271870,0.65823805,0.10684648,0.23491547,0.11505487,0.94911890,0.65547138,0.10732264,0.23720598,0.13459973
96,5x5_Static_Double_GB_Shallow,0.98290722,0.65143672,0.05700484,0.29155844,0.45643413,0.89062660,0.63162393,0.08911681,0.27925926,0.28175659
151,5x5_Static_Ternary_Shallow,0.98449426,0.39543975,0.25982876,0.34473148,0.03487785,0.80276167,0.38314286,0.25980952,0.35704762,0.10045663
17,5x5_Static_Ternary_Shallow,0.99758546,0.67198000,0.15387107,0.17414892,0.07812077,0.97196364,0.65587093,0.16949875,0.17463033,0.17360790
174,5x5_Static_Ternary_Shallow,0.99887007,0.52776299,0.27096039,0.20127662,0.02681569,0.92987644,0.48821053,0.30505263,0.20673684,0.13882794
176,5x5_Static_Ternary_Shallow,0.85574642,0.59153540,0.15715910,0.25130551,0.18053587,0.81548223,0.59406847,0.15376577,0.25216577,0.13931800
19,5x5_Static_Ternary_Shallow,0.99508176,0.58792447,0.27631224,0.13576330,0.27152683,0.99412587,0.58830622,0.27430165,0.13739212,0.29306701
212,5x5_Static_Ternary_Shallow,0.99154927,0.49448029,0.22279570,0.28272401,0.14769567,0.89148177,0.48000000,0.24193548,0.27806452,0.26147696
267,5x5_Static_Ternary_Shallow,0.99905155,0.63581293,0.21542088,0.14876620,0.07839886,0.99407069,0.62724743,0.21500582,0.15774675,0.09312684
329,5x5_Static_Ternary_Shallow,0.82430544,0.46184252,0.24508352,0.29307396,0.08403489,0.69300865,0.45979610,0.25348426,0.28671964,0.04956781
43,5x5_Static_Ternary_Shallow,0.83478563,0.59599236,0.16289908,0.24110856,0.22145803,0.80079037,0.60270968,0.15862366,0.23866667,0.15440425
451,5x5_Static_Ternary_Shallow,0.95257266,0.31977839,0.29636264,0.38385897,0.05544096,0.80828860,0.29696970,0.33606061,0.36696970,0.07165119
519,5x5_Static_Ternary_Shallow,0.94196736,0.62897646,0.06429382,0.30672973,0.22669686,0.86621077,0.60406897,0.07011494,0.32581609,0.13052021
52,5x5_Static_Ternary_Shallow,0.98622514,0.62265280,0.11935544,0.25799176,0.19862589,0.92386216,0.60111111,0.12704762,0.27184127,0.10119802
537,5x5_Static_Ternary_Shallow,0.99224712,0.55553846,0.23699519,0.20746635,0.07437711,0.84585714,0.50892857,0.29214286,0.19892857,0.04983503
545,5x5_Static_Ternary_Shallow,0.97909643,0.71200350,0.02459609,0.26340041,0.23610257,0.97124578,0.71165354,0.02356955,0.26477690,0.23541955
563,5x5_Static_Ternary_Shallow,0.98887918,0.73659965,0.18112875,0.08227160,0.26711829,0.96871366,0.73739683,0.18101587,0.08158730,0.30023168
850,5x5_Static_Ternary_Shallow,0.95433652,0.58004938,0.10753086,0.31241975,0.21229970,0.90567581,0.57688889,0.11000000,0.31311111,0.17647186
863,5x5_Static_Ternary_Shallow,0.90178701,0.41328700,0.34222716,0.24448584,0.19746376,0.85744234,0.41162881,0.33884294,0.24952825,0.20034655
887,5x5_Static_Ternary_Shallow,0.91097360,0.58076155,0.02666122,0.39257724,0.15189198,0.88731662,0.57743721,0.02826803,0.39429477,0.12504551
891,5x5_Static_Ternary_Shallow,0.90649597,0.57189118,0.07881452,0.34929430,0.17275552,0.90453952,0.57174472,0.07895143,0.34930385,0.17273851
94,5x5_Static_Ternary_Shallow,0.96774363,0.57438187,0.22466304,0.20095509,0.08463367,0.94786762,0.57140224,0.22493653,0.20366123,0.09842596
96,5x5_Static_Ternary_Shallow,0.98542358,0.62464108,0.06915076,0.30620816,0.38296579,0.88247129,0.60663818,0.06737892,0.32598291,0.25150743
151,5x5_Static_Binary_Deep,0.99112982,0.43030663,0.56969337,0.00000000,0.05288793,0.80442857,0.45457143,0.54542857,0.00000000,0.15489326
17,5x5_Static_Binary_Deep,0.99726623,0.83928888,0.16071112,0.00000000,0.26509718,0.95605263,0.79546366,0.20453634,0.00000000,0.31124031
174,5x5_Static_Binary_Deep,0.99886234,0.61839740,0.38160260,0.00000000,0.04309327,0.90773684,0.60384211,0.39615789,0.00000000,0.14369147
176,5x5_Static_Binary_Deep,0.82100436,0.69372829,0.30627171,0.00000000,0.36403729,0.78638559,0.67325045,0.32674955,0.00000000,0.19887192
19,5x5_Static_Binary_Deep,0.99877831,0.81622917,0.18377083,0.00000000,0.87243032,0.98367523,0.81099543,0.18900457,0.00000000,0.79204578
212,5x5_Static_Binary_Deep,0.98200717,0.65713262,0.34286738,0.00000000,0.33914135,0.82064516,0.63419355,0.36580645,0.00000000,0.28047450
267,5x5_Static_Binary_Deep,0.99975705,0.90905434,0.09094566,0.00000000,0.53200061,0.98950915,0.88498995,0.11501005,0.00000000,0.42729990
329,5x5_Static_Binary_Deep,0.88014166,0.52248229,0.47751771,0.00000000,0.28631476,0.67994153,0.52967766,0.47032234,0.00000000,0.17291264
43,5x5_Static_Binary_Deep,0.77653992,0.65474018,0.34525982,0.00000000,0.36837913,0.75090323,0.63918280,0.36081720,0.00000000,0.19850150
451,5x5_Static_Binary_Deep,0.91628388,0.38631502,0.61368498,0.00000000,0.08227877,0.76272727,0.38227273,0.61772727,0.00000000,-0.01973942
519,5x5_Static_Binary_Deep,0.94403635,0.82422856,0.17577144,0.00000000,0.90472301,0.83273563,0.77616092,0.22383908,0.00000000,0.10330029
52,5x5_Static_Binary_Deep,0.97461262,0.86774945,0.13225055,0.00000000,0.78220378,0.91573016,0.81471429,0.18528571,0.00000000,0.22045108
537,5x5_Static_Binary_Deep,0.98826442,0.58707692,0.41292308,0.00000000,0.08398625,0.85500000,0.56071429,0.43928571,0.00000000,0.08701237
545,5x5_Static_Binary_Deep,0.93605133,0.85548556,0.14451444,0.00000000,0.61623331,0.92750656,0.80283465,0.19716535,0.00000000,0.27726667
563,5x5_Static_Binary_Deep,0.98691358,0.87909700,0.12090300,0.00000000,0.70274213,0.95346032,0.87066667,0.12933333,0.00000000,0.51298379
850,5x5_Static_Binary_Deep,0.91520988,0.81767901,0.18232099,0.00000000,0.80763892,0.86800000,0.74822222,0.25177778,0.00000000,0.27238237
863,5x5_Static_Binary_Deep,0.91097721,0.51348028,0.48651972,0.00000000,0.47159124,0.85422636,0.49032227,0.50967773,0.00000000,0.38789085
887,5x5_Static_Binary_Deep,0.87348571,0.83082611,0.16917389,0.00000000,0.93174936,0.84284875,0.78674666,0.21325334,0.00000000,0.16579940
891,5x5_Static_Binary_Deep,0.86977671,0.69966528,0.30033472,0.00000000,0.40700870,0.86654683,0.67676679,0.32323321,0.00000000,0.24082637
94,5x5_Static_Binary_Deep,0.99129177,0.81697226,0.18302774,0.00000000,0.55280081,0.94427322,0.78430737,0.21569263,0.00000000,0.35048359
96,5x5_Static_Binary_Deep,0.97262068,0.75639523,0.24360477,0.00000000,0.88476536,0.79988604,0.72065527,0.27934473,0.00000000,0.27793145
151,5x5_Static_Double_AR_Deep,0.99585523,0.37654056,0.29237399,0.33108545,0.05060884,0.83523245,0.32633333,0.29571429,0.37795238,0.10742249
17,5x5_Static_Double_AR_Deep,0.99944680,0.83030618,0.08873241,0.08096141,0.21633537,0.96506558,0.76139098,0.12548872,0.11312030,0.23038822
174,5x5_Static_Double_AR_Deep,0.99906371,0.60209351,0.24143182,0.15647468,0.03650010,0.93022565,0.54768421,0.26384211,0.18847368,0.16302272
176,5x5_Static_Double_AR_Deep,0.90939552,0.64286820,0.07786985,0.27926195,0.36116411,0.83770364,0.60665946,0.08976577,0.30357477,0.13912225
19,5x5_Static_Double_AR_Deep,0.99907432,0.80614696,0.16620396,0.02764908,0.73061583,0.98890901,0.79652641,0.16504772,0.03842586,0.65206349
212,5x5_Static_Double_AR_Deep,0.99837004,0.62917563,0.12121864,0.24960573,0.25117595,0.90956888,0.56064516,0.14838710,0.29096774,0.30493828
267,5x5_Static_Double_AR_Deep,0.99976990,0.90474567,0.07993156,0.01532276,0.45604684,0.99276976,0.86502169,0.09738284,0.03759547,0.33072388
329,5x5_Static_Double_AR_Deep,0.94024123,0.26846147,0.15756468,0.57397385,0.14139777,0.73660990,0.25893253,0.16469715,0.57637031,0.07189810
43,5x5_Static_Double_AR_Deep,0.92204121,0.58554071,0.10908274,0.30537655,0.41742021,0.80494145,0.54894624,0.12236559,0.32868817,0.14107680
451,5x5_Static_Double_AR_Deep,0.98301118,0.28548901,0.21855495,0.49595604,0.06661896,0.81751587,0.21939394,0.26606061,0.51454545,-0.01205671
519,5x5_Static_Double_AR_Deep,0.99824435,0.73860856,0.03315021,0.22824122,0.55101579,0.86921113,0.60558621,0.10951724,0.28489655,0.11911010
52,5x5_Static_Double_AR_Deep,0.99992701,0.82317782,0.04988588,0.12693631,0.53278103,0.93436085,0.68879365,0.11296825,0.19823810,0.16544133
537,5x5_Static_Double_AR_Deep,0.99840207,0.54008173,0.21786538,0.24205288,0.08820182,0.86223810,0.45357143,0.26678571,0.27964286,0.01854066
545,5x5_Static_Double_AR_Deep,0.99885988,0.82738408,0.02884223,0.14377369,0.56781300,0.96628982,0.74761155,0.05265092,0.19973753,0.25310094
563,5x5_Static_Double_AR_Deep,0.99832915,0.86277249,0.06165785,0.07556966,0.52505269,0.97268011,0.84031746,0.07282540,0.08685714,0.39802624
850,5x5_Static_Double_AR_Deep,0.99897648,0.77525926,0.02612346,0.19861728,0.64222475,0.92163858,0.65800000,0.09066667,0.25133333,0.24338516
863,5x5_Static_Double_AR_Deep,0.97073647,0.41770827,0.27825974,0.30403199,0.33712622,0.91489421,0.37789944,0.25105999,0.37104057,0.27107617
887,5x5_Static_Double_AR_Deep,0.99197770,0.78186496,0.01849597,0.19963907,0.77464710,0.87972081,0.66461821,0.09867919,0.23670260,0.15415488
891,5x5_Static_Double_AR_Deep,0.96687331,0.61952539,0.06812581,0.31234880,0.36035352,0.92784893,0.57868732,0.08698833,0.33432435,0.21043372
94,5x5_Static_Double_AR_Deep,0.99697058,0.75555562,0.10641634,0.13802804,0.31437287,0.96255032,0.69706517,0.13514543,0.16778940,0.22498299
96,5x5_Static_Double_AR_Deep,0.99847944,0.63179115,0.03244779,0.33576107,0.42035207,0.89685867,0.55609687,0.08156695,0.36233618,0.24627328
151,5x5_Static_Double_GB_Deep,0.98806727,0.43030663,0.29237399,0.27731938,0.04735636,0.81316692,0.45457143,0.29571429,0.24971429,0.12405221
17,5x5_Static_Double_GB_Deep,0.99936802,0.83928888,0.08873241,0.07197871,0.23646020,0.96374675,0.79546366,0.12548872,0.07904762,0.27723415
174,5x5_Static_Double_GB_Deep,0.99867839,0.61839740,0.24143182,0.14017078,0.03835383,0.91815094,0.60384211,0.26384211,0.13231579,0.14227407
176,5x5_Static_Double_GB_Deep,0.88868040,0.69372829,0.07786985,0.22840186,0.32663733,0.83257358,0.67325045,0.08976577,0.23698378,0.14946693
19,5x5_Static_Double_GB_Deep,0.99875683,0.81622917,0.16620396,0.01756687,0.82195026,0.98636283,0.81099543,0.16504772,0.02395685,0.72647455
212,5x5_Static_Double_GB_Deep,0.99689345,0.65713262,0.12121864,0.22164875,0.28240801,0.88501559,0.63419355,0.14838710,0.21741935,0.28817313
267,5x5_Static_Double_GB_Deep,0.99975442,0.90905434,0.07993156,0.01101410,0.50845432,0.99036924,0.88498995,0.09738284,0.01762721,0.41371517
329,5x5_Static_Double_GB_Deep,0.84731689,0.52248229,0.15756468,0.31995303,0.20531870,0.70250310,0.52967766,0.16469715,0.30562519,0.10290159
43,5x5_Static_Double_GB_Deep,0.88040101,0.65474018,0.10908274,0.23617708,0.35100382,0.79248681,0.63918280,0.12236559,0.23845161,0.13207258
451,5x5_Static_Double_GB_Deep,0.97932411,0.38631502,0.21855495,0.39513004,0.09034461,0.77483694,0.38227273,0.26606061,0.35166667,-0.03144943
519,5x5_Static_Double_GB_Deep,0.99649113,0.82422856,0.03315021,0.14262123,0.81794416,0.84492182,0.77616092,0.10951724,0.11432184,0.08252690
52,5x5_Static_Double_GB_Deep,0.99965516,0.86774945,0.04988588,0.08236468,0.74143406,0.92365897,0.81471429,0.11296825,0.07231746,0.19812303
537,5x5_Static_Double_GB_Deep,0.99587212,0.58707692,0.21786538,0.19505769,0.09563778,0.87285714,0.56071429,0.26678571,0.17250000,0.07260332
545,5x5_Static_Double_GB_Deep,0.99777845,0.85548556,0.02884223,0.11567221,0.65858002,0.96021961,0.80283465,0.05265092,0.14451444,0.28155720
563,5x5_Static_Double_GB_Deep,0.99718232,0.87909700,0.06165785,0.05924515,0.60576469,0.96600368,0.87066667,0.07282540,0.05650794,0.42406013
850,5x5_Static_Double_GB_Deep,0.99800746,0.81767901,0.02612346,0.15619753,0.77224030,0.90492710,0.74822222,0.09066667,0.16111111,0.24665534
863,5x5_Static_Double_GB_Deep,0.93524117,0.51348028,0.27825974,0.20825998,0.34294808,0.87445820,0.49032227,0.25105999,0.25861774,0.25880910
887,5x5_Static_Double_GB_Deep,0.98759998,0.83082611,0.01849597,0.15067791,0.91063505,0.86622516,0.78674666,0.09867919,0.11457416,0.15115474
891,5x5_Static_Double_GB_Deep,0.95407936,0.69966528,0.06812581,0.23220891,0.41749671,0.91536395,0.67676679,0.08698833,0.23624488,0.23711654
94,5x5_Static_Double_GB_Deep,0.99100618,0.81697226,0.10641634,0.07661140,0.46336663,0.95276487,0.78430737,0.13514543,0.08054720,0.29409189
96,5x5_Static_Double_GB_Deep,0.99579576,0.75639523,0.03244779,0.21115698,0.70212525,0.85890475,0.72065527,0.08156695,0.19777778,0.24675927
151,5x5_Static_Ternary_Deep,0.99061293,0.39840198,0.29584765,0.30575037,0.04918166,0.79242465,0.39709524,0.29147619,0.31142857,0.06522523
17,5x5_Static_Ternary_Deep,0.99945953,0.85143534,0.08646663,0.06209803,0.26178770,0.96352354,0.78627193,0.12650376,0.08722431,0.24430490
174,5x5_Static_Ternary_Deep,0.99881428,0.66439870,0.20249351,0.13310779,0.04528730,0.91728070,0.56963158,0.26857895,0.16178947,0.15060005
176,5x5_Static_Ternary_Deep,0.93030406,0.70867708,0.06030882,0.23101410,0.51038379,0.81376939,0.65522162,0.08074595,0.26403243,0.10604183
19,5x5_Static_Ternary_Deep,0.99789657,0.81570217,0.16806852,0.01622931,0.81463360,0.98401895,0.80427342,0.17292311,0.02280347,0.68539173
212,5x5_Static_Ternary_Deep,0.99865223,0.67634409,0.10702509,0.21663082,0.30067078,0.88184658,0.61419355,0.15935484,0.22645161,0.26246463
267,5x5_Static_Ternary_Deep,0.99970579,0.91302220,0.07747023,0.00950757,0.52917596,0.99211817,0.88324341,0.09329842,0.02345816,0.39570615
329,5x5_Static_Ternary_Deep,0.95449379,0.45583521,0.18241139,0.36175340,0.36403946,0.71316848,0.43441229,0.20504948,0.36053823,0.07978178
43,5x5_Static_Ternary_Deep,0.94465982,0.63143478,0.09783953,0.27072569,0.56861718,0.78176158,0.58077419,0.11679570,0.30243011,0.08162469
