dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
176,1x5_Dynamic_Double_GB_Shallow,0.86285133,0.68528715,0.06616492,0.24854793,0.20435324,0.84375344,0.66926847,0.06925045,0.26148108,0.16635895
19,1x5_Dynamic_Double_GB_Shallow,0.99386751,0.63743534,0.24739066,0.11517400,0.36028214,0.98932379,0.63716225,0.24569633,0.11714142,0.35730511
212,1x5_Dynamic_Double_GB_Shallow,0.99329390,0.54093190,0.11519713,0.34387097,0.15630052,0.92650810,0.52258065,0.12645161,0.35096774,0.28042204
267,1x5_Dynamic_Double_GB_Shallow,0.99757190,0.73336702,0.09982065,0.16681233,0.11578297,0.98984298,0.72475722,0.09840157,0.17684121,0.12798282
329,1x5_Dynamic_Double_GB_Shallow,0.81670197,0.44213118,0.13802348,0.41984534,0.11125341,0.72142988,0.45142729,0.13884708,0.40972564,0.10459654
372,1x5_Dynamic_Double_GB_Shallow,0.99316214,0.87811562,0.02158893,0.10029545,0.15069974,0.99222582,0.87711348,0.02202554,0.10086098,0.16940750
43,1x5_Dynamic_Double_GB_Shallow,0.84119421,0.64637813,0.09725613,0.25636574,0.19668655,0.80728651,0.64765591,0.09675269,0.25559140,0.16054369
451,1x5_Dynamic_Double_GB_Shallow,0.95956506,0.37781502,0.21822527,0.40395971,0.05638504,0.75981746,0.41439394,0.21590909,0.36969697,-0.00021006
519,1x5_Dynamic_Double_GB_Shallow,0.93886825,0.69989398,0.11511607,0.18498995,0.32064636,0.86060892,0.66567816,0.15174713,0.18257471,0.11012037
52,1x5_Dynamic_Double_GB_Shallow,0.97977530,0.75500080,0.10495640,0.14004280,0.35867476,0.93876694,0.74584127,0.10655556,0.14760317,0.25722757
537,1x5_Dynamic_Double_GB_Shallow,0.99563744,0.57260577,0.23578365,0.19161058,0.08627139,0.86728571,0.53964286,0.29250000,0.16785714,0.04600911
545,1x5_Dynamic_Double_GB_Shallow,0.98173604,0.73596967,0.03270341,0.23132692,0.27418990,0.97715023,0.73338583,0.03280840,0.23380577,0.26659036
563,1x5_Dynamic_Double_GB_Shallow,0.98352089,0.78799295,0.03235273,0.17965432,0.24376670,0.97622671,0.78793651,0.03136508,0.18069841,0.28926367
572,1x5_Dynamic_Double_GB_Shallow,0.99345381,0.89097797,0.02286732,0.08615471,0.19236425,0.98924738,0.88719621,0.02446273,0.08834106,0.28388003
59,1x5_Dynamic_Double_GB_Shallow,0.80629478,0.30325222,0.43443667,0.26231111,0.32846143,0.79317250,0.30282000,0.43418000,0.26300000,0.36211668
602,1x5_Dynamic_Double_GB_Shallow,0.95982378,0.68666523,0.06170161,0.25163315,0.35615671,0.95332811,0.68449016,0.06247997,0.25302987,0.36151937
722,1x5_Dynamic_Double_GB_Shallow,0.98008903,0.80722768,0.06517031,0.12760201,0.23774967,0.97772862,0.80817484,0.06447636,0.12734880,0.23663134
78,1x5_Dynamic_Double_GB_Shallow,0.99477075,0.84993811,0.04571514,0.10434675,0.21187290,0.99115765,0.84739702,0.04502289,0.10758010,0.27317804
827,1x5_Dynamic_Double_GB_Shallow,0.96551926,0.52150937,0.00000000,0.47849063,0.08472165,0.96467746,0.52135662,0.00000000,0.47864338,0.08291179
850,1x5_Dynamic_Double_GB_Shallow,0.94364005,0.65807407,0.07928395,0.26264198,0.24902995,0.91785497,0.65777778,0.07911111,0.26311111,0.21187903
863,1x5_Dynamic_Double_GB_Shallow,0.88470503,0.46342081,0.14607761,0.39050158,0.19552659,0.85444977,0.45942730,0.14311202,0.39746069,0.18776761
887,1x5_Dynamic_Double_GB_Shallow,0.89512592,0.74728145,0.08134876,0.17136979,0.23756303,0.88465761,0.74469549,0.08322938,0.17207512,0.20826640
890,1x5_Dynamic_Double_GB_Shallow,0.94314982,0.71402052,0.09022832,0.19575116,0.21517392,0.92572211,0.71399237,0.09069501,0.19531262,0.17277520
891,1x5_Dynamic_Double_GB_Shallow,0.93665847,0.63464636,0.06358141,0.30177222,0.25952981,0.93632164,0.63450804,0.06398061,0.30151135,0.26121889
94,1x5_Dynamic_Double_GB_Shallow,0.95926428,0.64212096,0.12519980,0.23267924,0.10207627,0.94975208,0.63912440,0.12340913,0.23746647,0.12817457
96,1x5_Dynamic_Double_GB_Shallow,0.98322915,0.65551037,0.04743430,0.29705533,0.45435512,0.89300514,0.64125356,0.08703704,0.27170940,0.29954737
151,1x5_Dynamic_Ternary_Shallow,0.98605390,0.31393048,0.27430880,0.41176072,0.02675991,0.82938196,0.30395238,0.25633333,0.43971429,0.11546459
159,1x5_Dynamic_Ternary_Shallow,0.92452223,0.49736301,0.21477976,0.28785723,0.11495192,0.89346238,0.49646688,0.21501577,0.28851735,0.13616636
17,1x5_Dynamic_Ternary_Shallow,0.99695645,0.65738525,0.17006092,0.17255383,0.07850891,0.97596734,0.63818922,0.17769424,0.18411654,0.18149296
174,1x5_Dynamic_Ternary_Shallow,0.99943151,0.47544026,0.34050325,0.18405649,0.02776472,0.93901803,0.44505263,0.36152632,0.19342105,0.16949415
176,1x5_Dynamic_Ternary_Shallow,0.85945636,0.59562771,0.13974334,0.26462895,0.17339775,0.82741460,0.58366847,0.14958198,0.26674955,0.14481740
19,1x5_Dynamic_Ternary_Shallow,0.99489136,0.59097104,0.26682409,0.14220488,0.26888752,0.99411697,0.59051821,0.26709974,0.14238204,0.29219753
212,1x5_Dynamic_Ternary_Shallow,0.99065287,0.48860215,0.21634409,0.29505376,0.14498771,0.89488533,0.47096774,0.22967742,0.29935484,0.26995769
267,1x5_Dynamic_Ternary_Shallow,0.99889924,0.64442695,0.22512434,0.13044872,0.09121382,0.99326432,0.63803449,0.22141542,0.14055009,0.10438628
329,1x5_Dynamic_Ternary_Shallow,0.84403671,0.37015575,0.27483049,0.35501377,0.08779371,0.72446938,0.36800300,0.28449625,0.34750075,0.07464814
372,1x5_Dynamic_Ternary_Shallow,0.99036504,0.86596783,0.05668540,0.07734677,0.14573217,0.98795115,0.86506702,0.05753752,0.07739546,0.16042138
43,1x5_Dynamic_Ternary_Shallow,0.83521970,0.58377866,0.17106430,0.24515705,0.21101963,0.79216757,0.58959140,0.16901075,0.24139785,0.14790664
451,1x5_Dynamic_Ternary_Shallow,0.95661445,0.30089744,0.29767216,0.40143040,0.05053858,0.76390909,0.27272727,0.32500000,0.40227273,0.00873754
519,1x5_Dynamic_Ternary_Shallow,0.94287985,0.63425995,0.05164918,0.31409087,0.23113258,0.86282025,0.62613793,0.05022989,0.32363218,0.10048685
52,1x5_Dynamic_Ternary_Shallow,0.98818033,0.62898754,0.11322242,0.25779003,0.20858070,0.92487517,0.61590476,0.12352381,0.26057143,0.08991363
537,1x5_Dynamic_Ternary_Shallow,0.99465618,0.54138942,0.25489904,0.20371154,0.07545253,0.84280952,0.50000000,0.31107143,0.18892857,0.07159434
545,1x5_Dynamic_Ternary_Shallow,0.97862224,0.71962671,0.02520268,0.25517060,0.24261098,0.97196094,0.71653543,0.02398950,0.25947507,0.24319429
563,1x5_Dynamic_Ternary_Shallow,0.98603282,0.74031746,0.15150617,0.10817637,0.24464148,0.97092388,0.74209524,0.15041270,0.10749206,0.29288712
572,1x5_Dynamic_Ternary_Shallow,0.99476229,0.84786319,0.05686739,0.09526942,0.15540377,0.98597935,0.84631071,0.05657499,0.09711430,0.23299985
59,1x5_Dynamic_Ternary_Shallow,0.81708287,0.29712111,0.47784778,0.22503111,0.31831136,0.80155355,0.29675000,0.47700000,0.22625000,0.35217428
602,1x5_Dynamic_Ternary_Shallow,0.98787150,0.46994175,0.10680569,0.42325256,0.14377446,0.98119610,0.46744588,0.10751705,0.42503707,0.16023842
722,1x5_Dynamic_Ternary_Shallow,0.97494016,0.60416304,0.12709214,0.26874482,0.07019497,0.96976742,0.60451404,0.12693985,0.26854611,0.06769626
78,1x5_Dynamic_Ternary_Shallow,0.99612437,0.74030136,0.08223800,0.17746064,0.11492466,0.98926417,0.73944208,0.08262480,0.17793312,0.15636860
827,1x5_Dynamic_Ternary_Shallow,0.96711367,0.50164490,0.00000000,0.49835510,0.08191523,0.96624071,0.50166307,0.00000000,0.49833693,0.07994566
850,1x5_Dynamic_Ternary_Shallow,0.95250017,0.61313580,0.08454321,0.30232099,0.22634866,0.91389058,0.60844444,0.08733333,0.30422222,0.19697147
863,1x5_Dynamic_Ternary_Shallow,0.90315372,0.41871620,0.35772530,0.22355849,0.21010404,0.86105938,0.41721025,0.35617744,0.22661231,0.20666360
887,1x5_Dynamic_Ternary_Shallow,0.90036420,0.69376465,0.01153060,0.29470475,0.17810177,0.88426359,0.68946596,0.01255700,0.29797705,0.14844018
890,1x5_Dynamic_Ternary_Shallow,0.96080329,0.57763320,0.14341027,0.27895653,0.18765153,0.93719429,0.57158089,0.14567505,0.28274407,0.18449321
891,1x5_Dynamic_Ternary_Shallow,0.91107908,0.61166903,0.07260950,0.31572147,0.20400361,0.90963497,0.61157758,0.07262062,0.31580180,0.20480406
94,1x5_Dynamic_Ternary_Shallow,0.96528554,0.56283922,0.17239102,0.26476976,0.08197665,0.95124792,0.55835386,0.17514807,0.26649807,0.10102561
96,1x5_Dynamic_Ternary_Shallow,0.98289446,0.63728700,0.04035961,0.32235339,0.39015230,0.87324570,0.61190883,0.04111111,0.34698006,0.21510698
151,1x5_Dynamic_Binary_Deep,0.99807999,0.25416202,0.74583798,0.00000000,0.03496059,0.81552381,0.29157143,0.70842857,0.00000000,0.09626850
159,1x5_Dynamic_Binary_Deep,0.95097208,0.71191261,0.28808739,0.00000000,0.56395815,0.87690852,0.68424816,0.31575184,0.00000000,0.35277663
17,1x5_Dynamic_Binary_Deep,0.99761780,0.80472793,0.19527207,0.00000000,0.21990246,0.95781328,0.76837093,0.23162907,0.00000000,0.30712479
